name,feedUrl
‎Apple Podcasts －《聽雨說話Tingyusays》,https://open.firstory.me/rss/user/cjgrxqndr0x790886ja95nphv
‎Apple Podcasts －《Rebel Eaters Club》,https://feeds.megaphone.fm/rebeleatersclub
‎Apple Podcasts －《DreamLab》,https://anchor.fm/s/1312b124/podcast/rss
‎Apple Podcasts －《健身问答》,http://www.ximalaya.com/album/18869352.xml
‎Apple Podcasts －《NHS Couch to 5K》,http://feeds.feedburner.com/nhscouchto5k
‎Apple Podcasts －《寝るまでまって。続》,https://nerumade.hotcast.info/feed/podcast
‎Apple Podcasts －《AirMed》,http://feeds.soundcloud.com/users/soundcloud:users:778255021/sounds.rss
"‎Apple Podcasts －《Delight Your Marriage | Sexual Intimacy, Relationship Advice, & Christianity》",https://delightyourmarriage.libsyn.com/rss
‎Apple Podcasts －《Critical Care Practitioner》,https://www.jonathandownham.com/feed/podcast/
‎Apple Podcasts －《KaisaFit // More Than My Body》,https://feeds.buzzsprout.com/769442.rss
‎Apple Podcasts －《Das Coronavirus-Update mit Christian Drosten》,https://www.ndr.de/nachrichten/info/podcast4684.xml
‎Apple Podcasts －《This Jungian Life》,http://thisjungianlife.libsyn.com/rss
‎Apple Podcasts －《Quiet: The Power of Introverts with Susan Cain》,https://feeds.megaphone.fm/quietthepowerofintroverts
‎Apple Podcasts －《Seheeten Podcast》,http://feeds.soundcloud.com/users/soundcloud:users:323206854/sounds.rss
‎Apple Podcasts －《Psychology In Seattle Podcast》,https://www.spreaker.com/show/3269717/episodes/feed
‎Apple Podcasts －《Marathon Training Academy》,https://www.omnycontent.com/d/playlist/aaea4e69-af51-495e-afc9-a9760146922b/74690565-671e-4064-842a-ab4c013d8a13/59fba433-4158-418a-b5f6-ab4c013d8a21/podcast.rss
‎Apple Podcasts －《Hay House Radio Podcast》,http://hhradio.hayhouse.libsynpro.com/rss
‎Apple Podcasts －《Starting Strength Radio》,http://feeds.soundcloud.com/users/soundcloud:users:38229715/sounds.rss
"‎Apple Podcasts －《Your Dream Life with Kristina Karlsson, kikki.K》",https://blog.kikki-k.com/feed/podcast/
‎Apple Podcasts －《Radio 1's Life Hacks Podcast》,https://podcasts.files.bbci.co.uk/p05zn35j.rss
‎Apple Podcasts －《マジで女を虜にするヤバい恋愛心理学》,http://nagamine-aya.jp/podcast/feed/podcast/
‎Apple Podcasts －《ASMR Sleep Recordings》,https://anchor.fm/s/29b1b4c/podcast/rss
‎Apple Podcasts －《Now舒眠冥想》,https://anchor.fm/s/7f441a4/podcast/rss
"‎Apple Podcasts －《The Doctor's Farmacy with Mark Hyman, M.D.》",https://feed.pippa.io/public/shows/5aecaca3a15c2dd12887881a
‎Apple Podcasts －《おじさんの知らない魔女の話》,https://kirakira-aroma.com/podcast/feed/podcast/
‎Apple Podcasts －《Sleep Whispers》,https://feeds.feedburner.com/sleepwhispers
‎Apple Podcasts －《Sleepy》,http://sleepy.libsyn.com/rss
‎Apple Podcasts －《ESC Cardio Talk》,https://escardio.libsyn.com/rss
‎Apple Podcasts －《RISE Together Podcast》,https://feeds.megaphone.fm/risetogether
‎Apple Podcasts －《The Fat-Burning Man Show by Abel James: The Future of Health & Performance》,http://fatburningman.com/feed/podcast/
‎Apple Podcasts －《幸福上上签》,http://www.ximalaya.com/album/7819665.xml
‎Apple Podcasts －《Coronavirus Update 24/7》,https://podcasts.files.bbci.co.uk/p085rxwh.rss
‎Apple Podcasts －《The SuperHuman Academy Podcast》,http://becomingasuperhuman.libsyn.com/rss
‎Apple Podcasts －《London Real》,http://londonrealtv.libsyn.com/rss
‎Apple Podcasts －《The Heart》,http://feeds.theheartradio.org/TheHeartRadio
‎Apple Podcasts －《20歲男孩半場中離抗癌日記》,https://open.firstory.me/rss/user/ck2t3hs9up76n0869qfyrx3tn
‎Apple Podcasts －《Medical Medium Podcast》,http://feeds.soundcloud.com/users/soundcloud:users:184711729/sounds.rss
‎Apple Podcasts －《Happy Place》,http://happyplace.libsyn.com/rss
‎Apple Podcasts －《Optimal Health Daily》,https://anchor.fm/s/baf741c/podcast/rss
‎Apple Podcasts －《The Mindset Mentor》,https://rss.art19.com/the-mindset-mentor
‎Apple Podcasts －《Behind The Knife: The Surgery Podcast》,http://behindtheknife.libsyn.com/rss
‎Apple Podcasts －《Relationship Advice》,http://idopodcast.libsyn.com/rss
‎Apple Podcasts －《Inside Health》,https://podcasts.files.bbci.co.uk/b019dl1b.rss
‎Apple Podcasts －《ASMR Therapy.》,https://anchor.fm/s/9e111cc/podcast/rss
‎Apple Podcasts －《Savage Lovecast》,http://savagelove.libsyn.com/rss
‎Apple Podcasts －《Mindiverse 冥想》,https://anchor.fm/s/f8ff174/podcast/rss
‎Apple Podcasts －《Premium ASMR》,https://anchor.fm/s/37e2590/podcast/rss
‎Apple Podcasts －《The Health Code》,https://rss.whooshkaa.com/rss/podcast/id/5817
‎Apple Podcasts －《Dreams Before Breakfast》,https://anchor.fm/s/aea68c0/podcast/rss
